timestamp_utc,model,requested_device,execution_provider,runtime,runtime_version,host_arch,host_os,backend_name,runs,load_seconds,mean_infer_ms,median_infer_ms,p90_infer_ms,model_size_mb,eval_samples,correct,accuracy,max_abs_p_diff,ep_nodes,cpu_nodes,cpu_offload_pct,cpu_offload_ops,power_source,eval_detail
2026-07-09T15:09:39Z,tsc,NPU,openvino:NPU,onnxruntime-openvino,1.24.1,x64,Windows 11 (build 26200),ONNX Runtime (classifier),20,7.87115,8.67242,7.6319,9.37513,328.565,15,14,0.933333,0.00665452,,,,,battery,scam_0|scam|clean|0.036459|0.036887;scam_1|scam|scam|0.999978|0.999978;scam_2|scam|scam|0.911101|0.909333;scam_3|scam|scam|0.999234|0.999245;scam_4|scam|scam|0.999846|0.999844;scam_5|scam|scam|0.990660|0.990409;scam_6|scam|scam|0.972805|0.972070;scam_7|scam|scam|0.947088|0.940434;clean_8|clean|clean|0.000001|0.000001;clean_9|clean|clean|0.000002|0.000002;clean_10|clean|clean|0.000003|0.000003;clean_11|clean|clean|0.000003|0.000003;clean_12|clean|clean|0.013929|0.013057;clean_13|clean|clean|0.000714|0.000701;clean_14|clean|clean|0.001405|0.001439
2026-07-09T15:15:59Z,tsc,CPU,CPUExecutionProvider,onnxruntime,1.24.4,x64,Windows 11 (build 26200),ONNX Runtime (classifier),20,0.619871,175.347,141.423,285.087,328.565,15,14,0.933333,4.55356e-10,,,,,battery,scam_0|scam|clean|0.036887|0.036887;scam_1|scam|scam|0.999978|0.999978;scam_2|scam|scam|0.909333|0.909333;scam_3|scam|scam|0.999245|0.999245;scam_4|scam|scam|0.999844|0.999844;scam_5|scam|scam|0.990409|0.990409;scam_6|scam|scam|0.972070|0.972070;scam_7|scam|scam|0.940434|0.940434;clean_8|clean|clean|0.000001|0.000001;clean_9|clean|clean|0.000002|0.000002;clean_10|clean|clean|0.000003|0.000003;clean_11|clean|clean|0.000003|0.000003;clean_12|clean|clean|0.013057|0.013057;clean_13|clean|clean|0.000701|0.000701;clean_14|clean|clean|0.001439|0.001439
2026-07-10T13:40:07Z,fakeaudio,NPU,QNNExecutionProvider,onnxruntime-qnn,1.27.0,arm64,Windows 11 (build 26200),ONNX Runtime (classifier),20,17.3227,127.723,128.255,132.799,127.845,5,4,0.8,0.932525,1,0,0,,battery,deepfake_1|deepfake|deepfake|0.979919|0.999951;deepfake_2|deepfake|deepfake|0.959345|0.998115;real_1|real|deepfake|0.999656|0.999452;real_2|real|real|0.065905|0.998430;real_3|real|real|0.438004|0.004814
2026-07-10T13:40:27Z,fakeaudio-bb-fp32,NPU,QNNExecutionProvider,onnxruntime-qnn,1.27.0,arm64,Windows 11 (build 26200),ONNX Runtime (classifier),20,11.2071,114.939,115.045,119.443,123.676,5,3,0.6,0.000839169,1,0,0,,battery,deepfake_1|deepfake|deepfake|0.999947|0.999951;deepfake_2|deepfake|deepfake|0.998062|0.998115;real_1|real|deepfake|0.999474|0.999452;real_2|real|deepfake|0.998221|0.998430;real_3|real|real|0.005653|0.004814
2026-07-10T13:40:47Z,tsc,NPU,QNNExecutionProvider,onnxruntime-qnn,1.27.0,arm64,Windows 11 (build 26200),ONNX Runtime (classifier),20,13.9639,20.499,19.978,22.279,328.565,15,14,0.933333,0.0473105,1,0,0,,battery,scam_0|scam|clean|0.022977|0.036887;scam_1|scam|scam|0.999977|0.999978;scam_2|scam|scam|0.899298|0.909333;scam_3|scam|scam|0.999205|0.999245;scam_4|scam|scam|0.999831|0.999844;scam_5|scam|scam|0.986623|0.990409;scam_6|scam|scam|0.971211|0.972070;scam_7|scam|scam|0.893123|0.940434;clean_8|clean|clean|0.000001|0.000001;clean_9|clean|clean|0.000002|0.000002;clean_10|clean|clean|0.000003|0.000003;clean_11|clean|clean|0.000003|0.000003;clean_12|clean|clean|0.008864|0.013057;clean_13|clean|clean|0.000695|0.000701;clean_14|clean|clean|0.001793|0.001439
2026-07-10T14:31:20Z,tsc,CPU,CPUExecutionProvider,onnxruntime,1.25.1,x64,Windows 11 (build 26200),ONNX Runtime (classifier),20,0.576588,163.125,163.181,165.829,328.565,15,14,0.933333,1.92312e-06,,,,,battery,scam_0|scam|clean|0.036887|0.036887;scam_1|scam|scam|0.999978|0.999978;scam_2|scam|scam|0.909333|0.909333;scam_3|scam|scam|0.999245|0.999245;scam_4|scam|scam|0.999844|0.999844;scam_5|scam|scam|0.990409|0.990409;scam_6|scam|scam|0.972070|0.972070;scam_7|scam|scam|0.940432|0.940434;clean_8|clean|clean|0.000001|0.000001;clean_9|clean|clean|0.000002|0.000002;clean_10|clean|clean|0.000003|0.000003;clean_11|clean|clean|0.000003|0.000003;clean_12|clean|clean|0.013058|0.013057;clean_13|clean|clean|0.000701|0.000701;clean_14|clean|clean|0.001439|0.001439
2026-07-10T14:31:43Z,tsc,GPU,DmlExecutionProvider,onnxruntime-directml,1.25.1,x64,Windows 11 (build 26200),ONNX Runtime (classifier),20,0.861357,68.4489,67.4194,74.1307,328.565,15,14,0.933333,0.000306238,,,,,battery,scam_0|scam|clean|0.036580|0.036887;scam_1|scam|scam|0.999978|0.999978;scam_2|scam|scam|0.909418|0.909333;scam_3|scam|scam|0.999246|0.999245;scam_4|scam|scam|0.999844|0.999844;scam_5|scam|scam|0.990415|0.990409;scam_6|scam|scam|0.971938|0.972070;scam_7|scam|scam|0.940415|0.940434;clean_8|clean|clean|0.000001|0.000001;clean_9|clean|clean|0.000002|0.000002;clean_10|clean|clean|0.000003|0.000003;clean_11|clean|clean|0.000003|0.000003;clean_12|clean|clean|0.013069|0.013057;clean_13|clean|clean|0.000700|0.000701;clean_14|clean|clean|0.001440|0.001439
2026-07-10T14:31:59Z,tsc,NPU,VitisAIExecutionProvider,onnxruntime-vitisai,1.25.1,x64,Windows 11 (build 26200),ONNX Runtime (classifier),20,5.75337,31.7978,31.6936,32.3905,328.565,15,14,0.933333,0.0567954,,,,,battery,scam_0|scam|clean|0.012821|0.036887;scam_1|scam|scam|0.999983|0.999978;scam_2|scam|scam|0.914901|0.909333;scam_3|scam|scam|0.999464|0.999245;scam_4|scam|scam|0.999815|0.999844;scam_5|scam|scam|0.993096|0.990409;scam_6|scam|scam|0.982955|0.972070;scam_7|scam|scam|0.883638|0.940434;clean_8|clean|clean|0.000001|0.000001;clean_9|clean|clean|0.000002|0.000002;clean_10|clean|clean|0.000003|0.000003;clean_11|clean|clean|0.000002|0.000003;clean_12|clean|clean|0.022629|0.013057;clean_13|clean|clean|0.000527|0.000701;clean_14|clean|clean|0.000955|0.001439
2026-07-10T14:54:15Z,tsc,NPU,VitisAIExecutionProvider,onnxruntime-vitisai,1.25.1,x64,Windows 11 (build 26200),ONNX Runtime (classifier),20,5.68815,32.6034,32.6165,32.9524,328.565,15,14,0.933333,0.0567954,1,13,92.86,"Add x1, Cast x3, CumSum x1, Equal x1, Expand x1, Gather x2, Mul x1, Not x1, Unsqueeze x2",battery,scam_0|scam|clean|0.012821|0.036887;scam_1|scam|scam|0.999983|0.999978;scam_2|scam|scam|0.914901|0.909333;scam_3|scam|scam|0.999464|0.999245;scam_4|scam|scam|0.999815|0.999844;scam_5|scam|scam|0.993096|0.990409;scam_6|scam|scam|0.982955|0.972070;scam_7|scam|scam|0.883638|0.940434;clean_8|clean|clean|0.000001|0.000001;clean_9|clean|clean|0.000002|0.000002;clean_10|clean|clean|0.000003|0.000003;clean_11|clean|clean|0.000002|0.000003;clean_12|clean|clean|0.022629|0.013057;clean_13|clean|clean|0.000527|0.000701;clean_14|clean|clean|0.000955|0.001439
2026-07-11T12:01:00Z,tsc,GPU,dml,onnxruntime-directml,1.25.1,x64,Windows 11 (build 26200),ONNX Runtime (classifier),20,0.811185,65.1544,64.7966,68.6919,328.565,15,14,0.933333,0.000306238,1,0,0,,battery,scam_0|scam|clean|0.036580|0.036887;scam_1|scam|scam|0.999978|0.999978;scam_2|scam|scam|0.909418|0.909333;scam_3|scam|scam|0.999246|0.999245;scam_4|scam|scam|0.999844|0.999844;scam_5|scam|scam|0.990415|0.990409;scam_6|scam|scam|0.971938|0.972070;scam_7|scam|scam|0.940415|0.940434;clean_8|clean|clean|0.000001|0.000001;clean_9|clean|clean|0.000002|0.000002;clean_10|clean|clean|0.000003|0.000003;clean_11|clean|clean|0.000003|0.000003;clean_12|clean|clean|0.013069|0.013057;clean_13|clean|clean|0.000700|0.000701;clean_14|clean|clean|0.001440|0.001439
2026-07-11T12:01:11Z,fakeaudio,GPU,dml,onnxruntime-directml,1.25.1,x64,Windows 11 (build 26200),ONNX Runtime (classifier),20,1.37281,75.7859,78.7013,89.2567,127.845,5,3,0.6,5.94143e-06,4,1,20,Resize x1,battery,deepfake_1|deepfake|deepfake|0.999951|0.999951;deepfake_2|deepfake|deepfake|0.998114|0.998115;real_1|real|deepfake|0.999451|0.999452;real_2|real|deepfake|0.998428|0.998430;real_3|real|real|0.004820|0.004814
